,project_name,project_type,project_owner,base_price,target_price,target_rate,bid_days,bid_start_month,bid_start_weekday,bid_start_quarter,max_target_rate,min_target_rate,mean_target_rate,std_target_rate,count_bidding
0,2020년 실험실 안전환경 개선공사(전기)-1구역,공사,강원대학교 부속기관 연구실안전관리센터,33952000,34094000,100.418,6,7,1,3Q,99.393,99.393,99.393,,1
1,2020년 실험실 안전환경 개선공사(전기)-2구역,공사,강원대학교 부속기관 연구실안전관리센터,30536000,30661000,100.409,6,7,1,3Q,99.393,99.393,99.393,,1
2,2020년 클린로드 설치공사(전기),공사,서울특별시 도로사업소 북부도로사업소,48301000,47586000,98.52,4,7,3,3Q,0.0,0.0,0.0,0.0,0
4,2020년도 서울대학교 노후화장실 및 장애인화장실 환경개선 전기공사,공사,서울대학교,45678000,45625000,99.884,5,7,1,3Q,100.18,99.423,99.879,0.40159805776423046,3
7,익산 백제왕궁 ICT역사관 조성공사 전기감리 용역,용역,전라북도 익산시,41482000,42103000,101.497,5,7,2,3Q,100.619,99.31,99.88138461538462,0.4393564495299792,13
9,안의교 경관조명 설치공사(전기),공사,경상남도 함양군,95081000,94789000,99.693,5,7,1,3Q,101.112,97.866,99.97490909090911,0.9971270184430312,11
10,창천리 마을만들기사업 창고내마을활력소조성 리모델링 전기공사,공사,한국농어촌공사 제주지역본부,27378000,27452000,100.27,5,7,2,3Q,99.891,99.32,99.6055,0.4037579720575272,2
12,영주고등학교 다목적강의실 구축공사(전기),공사,경상북도교육청 영주고등학교,31229000,31391000,100.519,6,7,0,3Q,0.0,0.0,0.0,0.0,0
14,(긴급)용산고 별관동 화장실개선 전기공사,공사,서울특별시교육청 서울특별시중부교육지원청,37107900,36852000,99.31,4,7,3,3Q,100.281,98.819,99.63733333333334,0.5417385593315912,6
17,김포공항 국제선 BHS 자동분류시스템 구축 전기공사,공사,한국공항공사 서울지역본부,113113000,112405000,99.374,4,7,3,3Q,100.549,99.416,99.98139999999998,0.40282291394607,5
18,안성여중 다목적체육관 증축 전기공사,공사,경기도안성교육청,268230000,270358000,100.793,9,7,5,3Q,100.37,99.168,99.79742857142857,0.41585047679137926,7
19,대전교육정보원 화장실수선 등 2개원 전기공사 설계용역,용역,대전광역시교육청,7865000,7828000,99.53,7,7,0,3Q,101.387,98.164,99.91760000000001,0.7144731158926362,25
