,project_owner,restriction,basic_price,competitors,bidding_month,bidding_quarter,max_target_rate,min_target_rate,mean_target_rate,std_target_rate,count_bidding,target_rate,winner_rate
0,전라남도 진도군,진도,39563000,21,6,2Q,101.64735999999999,98.16086,100.1768661904762,0.7228643217663286,42,99.85965,99.9422
1,전라남도 곡성군,곡성,83160000,23,6,2Q,101.08700999999999,98.10806,99.88828319444444,0.7066601052318376,72,98.68855,99.06968
2,전라남도 곡성군,곡성,25355000,23,6,2Q,101.08700999999999,98.10806,99.88828319444444,0.7066601052318376,72,100.96332,100.9727
3,전라남도 곡성군,곡성,36454000,23,6,2Q,101.08700999999999,98.10806,99.88828319444444,0.7066601052318376,72,99.3454,99.4285
4,전라남도 순천시,순천,36993000,114,6,2Q,101.69255,98.03514,99.8392373263889,0.7039995021434766,288,99.6946,99.7098
5,전라남도 순천시,순천,46966000,115,6,2Q,101.69255,98.03514,99.8392373263889,0.7039995021434766,288,99.98786,100.00227
6,전라남도 구례군,구례,49830000,21,6,2Q,101.40652,98.69256,99.82867470588235,0.6795729363278846,34,99.51906,99.63302
7,전라남도 구례군,구례,26257000,21,6,2Q,101.40652,98.69256,99.82867470588235,0.6795729363278846,34,99.45262,99.48911
8,전라남도 완도군,완도,47200000,24,6,2Q,101.25780999999999,97.92143,99.7447866666667,0.60718429786754,102,101.11006,101.98899999999999
10,해양환경공단 여수지사,전남,118734000,1105,6,2Q,0.0,0.0,0.0,0.0,0,99.1383,99.1405
11,한국전력공사 광주전남지역본부,전남,317525726,129,6,2Q,101.4517,93.28509,98.32488355648535,2.0238400319674787,1195,100.2949,100.30239
12,한국전력공사 광주전남지역본부,전남,116116019,362,6,2Q,101.4517,93.28509,98.32488355648535,2.0238400319674787,1195,99.46985,99.48100000000001
13,한국전력공사 광주전남지역본부,전남,447422873,290,6,2Q,101.4517,93.28509,98.32488355648535,2.0238400319674787,1195,100.00949,100.0188
14,전라남도교육청,전남,162921000,1144,6,2Q,101.93498000000001,97.97977,99.90192072727272,0.743631064820237,220,99.71302,99.714
15,전라남도 담양군,전남,91630000,1145,6,2Q,101.56900999999999,98.38801,99.99090513513514,0.8140810728234831,74,100.5673,100.5678
16,전라남도 담양군,전남,132933000,1154,6,2Q,101.56900999999999,98.38801,99.99090513513514,0.8140810728234831,74,100.48578,100.49072
17,국토교통부 익산지방국토관리청 광주국토관리사무소,전남,37820000,1120,6,2Q,101.09251,98.67132,100.03462666666667,0.571689059911676,48,99.83586,99.83599
18,국토교통부 익산지방국토관리청 광주국토관리사무소,전남,17126000,1060,6,2Q,101.09251,98.67132,100.03462666666667,0.571689059911676,48,100.21473,100.21536
19,전라남도교육청 소림학교,영암,34512000,50,6,2Q,100.90185,99.15133,100.03157,0.9036313117269289,4,99.70944,99.7462
20,전라남도교육청 전라남도목포교육지원청,전남,171815000,1156,6,2Q,101.77103000000001,98.06401,99.97001268965516,0.8484134407857473,145,100.84778,100.85188000000001
21,한국철도시설공단,전국/전남,6009074000,619,6,2Q,101.36836,98.84846999999999,100.319573125,0.696636919276893,32,98.42344,98.63821999999999
22,제1989부대,전남,111946000,954,6,2Q,99.65259,97.48219,98.66968073825502,0.43577628189351647,149,99.16351999999999,99.16418
23,전라남도 곡성군,곡성,28379090,22,6,2Q,101.08700999999999,98.10806,99.89366859154929,0.7102002033336313,71,99.50591999999999,99.53912
24,전라남도 해남군 농업기술센터,전남,316392920,1119,6,2Q,101.59453,100.68244,101.138485,0.6449450240524426,2,97.99327,97.99965999999999
25,전라남도교육청,전남,117012000,1160,6,2Q,101.93498000000001,97.97977,99.90105497716897,0.7452235553201564,219,100.09151999999999,100.0934
26,전라남도교육청,전남,199364000,1151,6,2Q,101.93498000000001,97.97977,99.90424321100917,0.7454401680550972,218,99.20602,99.2113
27,전라남도교육청,전남,193660000,1154,6,2Q,101.93498000000001,97.97977,99.90516714285714,0.7470386096510624,217,99.70375,99.70707
28,전라남도 화순군,전남,180989000,1120,6,2Q,101.76079,98.38954,100.18084983050848,0.7692693160877461,59,99.27726,99.27875
30,한국전력공사 광주전남지역본부,광주/전남,696546467,75,6,2Q,101.4517,93.28509,98.32238046102263,2.0246120786855113,1193,99.81798,99.8352
31,전라남도교육청 전라남도보성교육지원청,보성,33418000,28,6,2Q,101.34208000000001,98.22698000000001,99.80894180000001,0.7406020267672746,50,100.48566,100.49918000000001
32,전라남도 완도군,전남,120901000,1155,6,2Q,101.25780999999999,97.92143,99.74388564356437,0.6101441331888978,101,99.83579,99.83649
33,전라남도 함평군,함평,22092000,27,6,2Q,101.29728,98.01126,99.78406036363636,0.8203023607543282,55,101.27953000000001,112.81357
34,전남대학교 본부 행정본부,여수,27901000,104,6,2Q,100.94351,98.9711,99.97298482758619,0.5039676951850665,29,100.72049,100.72898
35,전라남도 곡성군,곡성,48400000,24,6,2Q,101.08700999999999,98.10806,99.88196585714284,0.7083993149889343,70,100.71285999999999,100.73179
37,전라남도 순천시,전남,357280000,49,6,2Q,101.69255,98.03514,99.83644540069686,0.7036301967323448,287,100.64052,100.73299999999999
38,전라남도교육청 전라남도영광교육지원청,영광,33132000,58,6,2Q,101.20518,98.42135999999999,99.89648366666667,0.6599025867018882,90,98.76705,98.96557
40,전라남도교육청 전라남도담양교육지원청,담양,33891000,53,6,2Q,101.55381,98.18434,99.8382024050633,0.7588687037686602,79,99.03586999999999,99.17438
41,전라남도 함평군,함평,75783000,25,6,2Q,101.29728,98.01126,99.76275944444444,0.8125060975641539,54,100.93431,101.09698
42,전라남도 구례군,구례,52624000,21,6,2Q,101.40652,98.69256,99.82539636363637,0.6898364995318542,33,99.93686,100.12149000000001
43,전라남도 장성군,장성,50160000,75,6,2Q,101.50045,98.09334,99.82028489130435,0.7730658656988935,92,100.05487,100.08601999999999
44,전라남도 목포시,전남,148060000,1170,6,2Q,101.63908,97.72431,99.87702888888887,0.7235629656518452,54,99.54352,99.5457
46,전라남도 나주시,나주,88000000,118,6,2Q,101.56877,98.22476999999999,99.88366367088608,0.717775678681149,158,99.14531,99.1538
47,전라남도 무안군,무안,36630000,49,6,2Q,101.22651,98.20251,99.7999111235955,0.7084965962185483,89,99.08244,99.19375
