입찰공고번호,업무,업종코드,업종명,공고명,공고기관,수요기관,WTO품목번호,게시일시,입찰개시일시,입찰마감일시,예가방법,추첨번호공개여부,지역제한,참가가능지역,추정가격,기초금액,A값
20201006791-02,공사,0001,토목공사업,함박항 선착장 정비공사,경상남도 거제시,경상남도 거제시,건설공사,2020/10/08 20:02,2020/10/13 10:00:00,2020/10/16 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[경상남도],536297273,589927000,31399184
20201006845-00,공사,0001,토목공사업,탄천 송파둘레길 산책로 조성공사,서울특별시 송파구,서울특별시 송파구,건설공사,2020/10/08 17:51,2020/10/08 19:00:00,2020/10/16 14:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[서울특별시],507035454,557739000,29873520
20201006731-00,공사,0001,토목공사업,구만면 아름다운 거리 조성사업,경상남도 고성군 구만면,경상남도 고성군 구만면,건설공사,2020/10/08 17:21,2020/10/12 10:00:00,2020/10/15 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[경상남도 고성군],51245455,56370000,0
20201006565-00,공사,0001,토목공사업,동촌교 재가설공사(토목),경상남도 밀양시,경상남도 밀양시,건설공사,2020/10/08 15:59,2020/10/13 09:00:00,2020/10/15 12:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[경상남도 밀양시],388100000,426910000,0
20201006321-00,공사,0001,토목공사업,국도 19호선 청주 미원단구간 도로확포장공사,충청북도,충청북도,건설공사,2020/10/08 15:03,2020/10/09 09:00:00,2020/10/14 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[충청북도],9429090909,10372000000,396120515
20201006378-00,공사,0001,토목공사업,진천 신통도로 선형개량공사,충청북도,충청북도 도로관리사업소,건설공사,2020/10/08 14:59,2020/10/09 09:00:00,2020/10/14 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[충청북도],502332728,552566000,30228485
20201006295-00,공사,0001,토목공사업,신대 농어촌마을 하수도 증설사업(하수처리시설),전라북도 무주군,전라북도 무주군,건설공사,2020/10/08 14:22,2020/10/08 15:00:00,2020/10/14 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[전라북도],1462820000,1609102000,74069760
20201005628-00,공사,0001,토목공사업,용당캠퍼스 수해복구공사,부경대학교,부경대학교,건설공사,2020/10/08 14:09,2020/10/14 09:00:00,2020/10/16 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[부산광역시],298419091,321690000,19876955
20201006034-00,공사,0001,토목공사업,통영여고 운동장개선공사 수의계약 안내 공고,경상남도교육청 경상남도통영교육지원청,경상남도교육청 경상남도통영교육지원청,건설공사,2020/10/08 11:38,2020/10/12 10:00:00,2020/10/15 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[경상남도 통영시],107670000,118437000,0
20201005972-00,공사,0001,토목공사업,통영여중 외 1교(진남초) 운동장조성 및 기타공사 수의계약 안내 공고,경상남도교육청 경상남도통영교육지원청,경상남도교육청 경상남도통영교육지원청,건설공사,2020/10/08 11:31,2020/10/12 10:00:00,2020/10/15 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[경상남도 통영시],152650000,167915000,0
20201005449-00,공사,0001,토목공사업,호명 오천리 체육공원 조성사업 소액수의 견적 제출 안내공고,경상북도 예천군 체육사업소,경상북도 예천군 체육사업소,건설공사,2020/10/07 20:06,2020/10/08 10:00:00,2020/10/14 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[경상북도 예천군],147818182,162600000,0
20201005302-00,공사,0001,토목공사업,천북312호(낙신선) 농어촌도로 확포장공사,충청남도 보령시,충청남도 보령시,건설공사,2020/10/07 18:01,2020/10/08 10:00:00,2020/10/14 10:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[충청남도 보령시],124261818,136688000,0
20201005235-00,공사,0001,토목공사업,동정지구 일반하천 정비사업,경상남도 창녕군,경상남도 창녕군,건설공사,2020/10/07 17:39,2020/10/08 10:00:00,2020/10/14 12:00:00,복수예가 : 4 (추첨예가) / 15 (총예가),비공개,투찰제한,[경상남도 창녕군],184154546,202570000,0
